,,,,,,,,,,,,,,,,
DESIGN NO,OLD VARIANT,CATEGORY,SUB CATEGORY,GENDER,COLLECTION,MULTI SIZE,METAL COLOUR,PORTFOLIO TYPE,SOLITAIRE SLAB_FROM,SOLITAIRE SLAB_TO,SIZE FROM,SIZE TO,PURITY,Color,Last Updation Date,Item Creation Date
DRF8697,RF3059,RING,Female Ring,Female,Generic,26,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.14-0.17,7,12,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF8710,rf3105,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.50-0.59,6,17,"10KT,14KT,18KT,9KT",,,3-8-2024
DSC10107,SC3012,COIN,Solitaire Coin,UNISEX,Generic,-,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DRM8927,RM1203,RING,Male Ring,Male,Generic,21,"Rose,Rose White Rhodium,White,Yellow,Yellow White Rhodium",Divine (DSJ),0.18-0.22,0.90-0.99,14,21,"10KT,14KT,18KT,9KT",Yellow,3-30-2024,2-21-2024
DRM9250,RM3080,RING,Male Ring,Male,Enamel Generic,20,"White,Yellow",Divine (DSJ),,,15,26,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRM9045,RM1286,RING,Male Ring,Male,Generic,21,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.30-0.38,1,20.5,"10KT,14KT,18KT,9KT",Yellow,3-19-2024,2-21-2024
DEF8733,EF1403,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.90-0.99,-,-,"10KT,14KT,18KT,9KT",White,3-28-2024,2-21-2024
DRM8919,RM1175,RING,Male Ring,Male,Generic,17,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.23-0.29,21,21,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,4-3-2024
DOBF8202,OBF3014,WRIST WEAR,Oval Bangle,Female,Generic,2.6,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.30-0.38,2.4,2.6,"10KT,14KT,18KT,9KT",Rose,4-3-2024,2-21-2024
DRF9647,RF1506,RING,Female Ring,Female,Generic,9,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Yellow,3-14-2024,2-21-2024
DRF8838,RF3135,RING,Female Ring,Female,Setu Collection,14,"Rose White,Yellow White",Divine (DSJ),0.23-0.29,0.50-0.59,4,16,"10KT,14KT,18KT,9KT",White,4-16-2024,2-21-2024
DRF9641,RF1452,RING,Female Ring,Female,Generic,9,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,3,12,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRM8928,RM1205,RING,Male Ring,Male,Generic,20,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,1.50-1.69,23,33,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DNP8410,NP1121,NOSE PIN,Nose Pin,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.50-0.59,-,-,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DPF9966,PF3057,NECKWEAR,Female Pendant,Female,Generic,-,,Divine (DSJ),,,,,,Yellow,3-12-2024,2-21-2024
DRF8246,RF1841,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.00-2.49,15,20,"10KT,14KT,18KT,9KT",Yellow,3-23-2024,3-23-2024
DRF9565,RF1329,RING,Female Ring,Female,Generic,8,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF8560,RF3004,RING,Female Ring,Female,Generic,10,"Rose,Rose White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.10-0.13,2.50-2.99,10,21,"10KT,14KT,18KT,9KT",White,3-30-2024,2-21-2024
DEF9903,EF8069,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DRF8683,rf3040,RING,Female Ring,Female,Generic,8,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DPF8280,PF6017,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DRF8822,RF3117,RING,Female Ring,Female,Setu Collection,8,"Rose White,Yellow White",Divine (DSJ),0.23-0.29,0.50-0.59,-,21,"10KT,14KT,18KT,9KT",Rose,3-30-2024,2-21-2024
DRF9761,RF1660,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,10,21,"10KT,14KT,18KT,9KT",Yellow,4-10-2024,4-9-2024
DEF9736,EF3474,EARRING,Female Earring,Female,Generic,-,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.14-0.17,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",White,,2-21-2024
DCM8752,CM3059,RING,Couple Male Ring,Male,Now & Forever,22,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,1.24-1.49,10,26,"10KT,14KT,18KT,9KT",Yellow,3-16-2024,2-21-2024
DRF8957,RF3158,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.30-0.38,6,17,"10KT,14KT,18KT,9KT",,3-7-2024,3-7-2024
DRF8547,RF2121,RING,Female Ring,Female,Now & Forever,12,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,1.00-1.23,13,18,"10KT,14KT,18KT,9KT",,3-7-2024,3-7-2024
DPF8211,PF3089,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF9540,RF1112,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.45-0.49,4,19,"10KT,14KT,18KT,9KT",Rose,3-14-2024,2-21-2024
DEF9414,EF3322,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRF9657,RF1528,RING,Female Ring,Female,Generic,14,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.70-0.79,4,16,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF10006,RF1822,RING,Female Ring,Female,Generic,11.5,Silver,Divine (DSJ),0.14-0.17,2.50-2.99,1,14.5,18KT,Rose,4-22-2024,2-21-2024
DRM9039,RM1271,RING,Male Ring,Male,Generic,18,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,0.23-0.29,22,22,"10KT,14KT,18KT,9KT",Yellow,3-24-2024,2-21-2024
DMF8798,MF3034,NECKWEAR,Mangalsutra,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,3-26-2024,2-21-2024
DRF8822,RF3117,RING,Female Ring,Female,Setu Collection,13,"Rose White,Yellow White",Divine (DSJ),0.23-0.29,0.50-0.59,-,21,"10KT,14KT,18KT,9KT",White,3-30-2024,2-21-2024
DEF8739,EF1412,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.90-0.99,-,-,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DEF8733,EF1403,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.90-0.99,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRM8931,RM1212,RING,Male Ring,Male,Generic,21,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.90-0.99,16,21,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DEF8493,EF1200,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.90-0.99,-,-,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DPF8401,PF6095,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Rose,3-16-2024,2-21-2024
DRF8251,RF1858,RING,Female Ring,Female,Generic,7,"Rose,White,Yellow",Divine (DSJ),0.60-0.69,0.90-0.99,7,8,"10KT,14KT,18KT,9KT",Yellow,4-2-2024,2-21-2024
DRF9747,RF1630,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF8463,RF2111,RING,Female Ring,Female,Engagement,12,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.50-0.59,4,16,"10KT,14KT,18KT,9KT",Yellow,4-10-2024,2-21-2024
DRM9257,RM3088,RING,Male Ring,Male,Generic,22,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.50-0.59,18,25,"10KT,14KT,18KT,9KT",White,3-19-2024,2-21-2024
DRM9055,RM1298,RING,Male Ring,Male,Now & Forever,26,"Rose White,White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.70-0.79,25,35,"10KT,14KT,18KT,9KT",White,4-3-2024,2-21-2024
DRM8929,RM1206,RING,Male Ring,Male,Generic,23,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.70-0.79,-,20.5,"10KT,14KT,18KT,9KT",Yellow,3-11-2024,2-21-2024
DRF10163,,RING,Female Ring,Female,Generic,12,"Rose,Rose White,White,Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.39-0.44,4,19,"14KT,18KT",,,3-20-2024
DEF8583,EF1312,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,3-15-2024,2-21-2024
DRF9640,RF1450,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,18,"10KT,14KT,18KT,9KT",Yellow,3-26-2024,2-21-2024
DRM8929,RM1206,RING,Male Ring,Male,Generic,19,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.70-0.79,-,20.5,"10KT,14KT,18KT,9KT",Yellow,3-11-2024,2-21-2024
DNP8421,NP3002,NOSE PIN,Nose Pin,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF8353,RF2001,RING,Female Ring,Female,Engagement,15,"Rose,White,Yellow",Divine (DSJ),0.23-0.29,2.00-2.49,5.5,6.5,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DCM8753,CM3061,RING,Couple Male Ring,Male,Now & Forever,26,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.70-0.79,14,21,"10KT,14KT,18KT,9KT",Yellow,4-9-2024,2-21-2024
DRF10116,,RING,Female Ring,Female,Generic,11,"PT White,Platinum + Rose Gold,Platinum + Yellow Gold,Rose,Rose White,White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.14-0.17,0.30-0.38,4,19,"18KT,950",,3-8-2024,3-6-2024
DRF9657,RF1528,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.70-0.79,4,16,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRF8544,RF2117,RING,Female Ring,Female,Engagement,10,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-7-2024,2-21-2024
DRF9647,RF1506,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Yellow,3-14-2024,2-21-2024
DRF8562,RF3006,RING,Female Ring,Female,Generic,11,"Rose,Rose White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.10-0.13,0.18-0.22,9,16,"10KT,14KT,18KT,9KT",White,3-21-2024,2-21-2024
DRM9234,RM3030,RING,Male Ring,Male,Generic,22,"Rose White,White Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.39-0.44,22,22,"10KT,14KT,18KT,9KT",Yellow White,3-23-2024,2-21-2024
DRF9658,RF1532,RING,Female Ring,Female,Generic,11,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DEF8159,EF6056,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.23-0.29,-,-,"10KT,14KT,18KT,9KT",Rose,4-17-2024,2-21-2024
DRM9053,RM1296,RING,Male Ring,Male,Generic,21,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.70-0.79,20,21,"10KT,14KT,18KT,9KT",White,4-12-2024,2-21-2024
DPF8297,PF6050,NECKWEAR,Female Pendant,Female,Setu Collection,-,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",White,,2-21-2024
DRM9047,RM1288,RING,Male Ring,Male,Generic,20,"Rose,White,Yellow",Divine (DSJ),0.30-0.38,0.30-0.38,20,20,"10KT,14KT,18KT,9KT",Yellow,4-5-2024,2-21-2024
DRF8456,RF2097,RING,Female Ring,Female,Generic,11,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-29-2024,2-21-2024
DCM8775,CM3037,RING,Couple Male Ring,Male,Now & Forever,22,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),,,15,26,"10KT,14KT,18KT,9KT",White,,2-21-2024
DRF8575,RF3020,RING,Female Ring,Female,Generic,12,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),,,4,16,"10KT,14KT,18KT,9KT",White,,2-21-2024
DPF9965,PF3056,NECKWEAR,Female Pendant,Female,Generic,-,,Divine (DSJ),,,,,,Yellow,3-12-2024,2-21-2024
DRM9149,RM3013,RING,Male Ring,Male,Generic,22,"Rose,Rose White Rhodium,White,Yellow,Yellow White Rhodium",Divine (DSJ),0.14-0.17,0.14-0.17,18,18,"10KT,14KT,18KT,9KT",White,3-8-2024,2-21-2024
DRM9228,RM3024,RING,Male Ring,Male,Generic,21.5,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.60-0.69,-,30.5,"10KT,14KT,18KT,9KT",White,3-29-2024,2-21-2024
DRM9145,RM3007,RING,Male Ring,Male,Generic,26,"Rose,Rose White,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.10-0.13,0.10-0.13,16,20,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DCF8892,CF3063,RING,Couple Female Ring,Female,Now & Forever,13,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.50-0.59,6,17,"10KT,14KT,18KT,9KT",Rose,3-23-2024,3-22-2024
DRM9146,RM3008,RING,Male Ring,Male,Generic,18,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.10-0.13,0.18-0.22,22,35,"10KT,14KT,18KT,9KT",White,4-10-2024,2-21-2024
DRM9157,RM3021,RING,Male Ring,Male,Generic,26,"Rose White Rhodium,Yellow White Rhodium",Divine (DSJ),,,4,26,"10KT,14KT,18KT,9KT",White,,2-21-2024
DRM9232,RM3028,RING,Male Ring,Male,Generic,24,"Rose White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.23-0.29,0.50-0.59,24,31,"10KT,14KT,18KT,9KT",White,4-9-2024,2-21-2024
DRF9759,RF1658,RING,Female Ring,Female,Generic,11,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,,3-28-2024
DRM9148,RM3012,RING,Male Ring,Male,Generic,18,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.18-0.22,0.18-0.22,18,18,"10KT,14KT,18KT,9KT",White,4-11-2024,4-11-2024
DRM9152,RM3016,RING,Male Ring,Male,Generic,23,"Rose,White,Yellow,Yellow White",Divine (DSJ),0.18-0.22,0.18-0.22,19,19,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DRF9653,RF1516,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF8569,RF3014,RING,Female Ring,Female,Generic,16,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),,,4,18,"10KT,14KT,18KT,9KT",White,,2-21-2024
DRM9235,RM3031,RING,Male Ring,Male,Generic,26,"Rose White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),-,2.50-2.99,1,21,"10KT,14KT,18KT,9KT",White,3-19-2024,2-21-2024
DEF8489,EF1193,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF9756,RF1655,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-6-2024,2-21-2024
DRM8912,RM1153,RING,Male Ring,Male,Generic,22,"Rose,White,Yellow",Divine (DSJ),-,2.50-2.99,32,33.5,"10KT,14KT,18KT,9KT",Yellow,3-29-2024,3-29-2024
DCF8900,RF1979,RING,Couple Female Ring,Female,Now & Forever,16,"Rose White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.18-0.22,0.70-0.79,4,16,"10KT,14KT,18KT,9KT",White,4-16-2024,2-21-2024
DRM9027,RM1244,RING,Male Ring,Male,Generic,26,"Rose,Rose White,Rose White Rhodium,White,White Rose,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.39-0.44,0.70-0.79,16,18.5,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF8572,RF3017,RING,Female Ring,Female,Generic,14,"Rose,Rose White,White,White Rose,White Yellow,Yellow,Yellow White",Divine (DSJ),0.14-0.17,0.45-0.49,15,15,"10KT,14KT,18KT,9KT",White,3-8-2024,2-21-2024
DCM8758,RM1266,RING,Couple Male Ring,Male,Now & Forever,26,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.30-0.38,22,31,"10KT,14KT,18KT,9KT",White,3-24-2024,2-21-2024
DPF8297,PF6050,NECKWEAR,Female Pendant,Female,Setu Collection,-,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DRM9139,RM3000,RING,Male Ring,Male,Engagement,26,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.45-0.49,19,20,"10KT,14KT,18KT,9KT",Yellow,3-15-2024,2-21-2024
DRF9561,RF1243,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRM9149,RM3013,RING,Male Ring,Male,Generic,20,"Rose,Rose White Rhodium,White,Yellow,Yellow White Rhodium",Divine (DSJ),0.14-0.17,0.14-0.17,18,18,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DRF9548,RF1137,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,18,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRM9348,RM5006,RING,Male Ring,Male,Generic,21,"Rose,White,Yellow",Divine (DSJ),0.30-0.38,0.90-0.99,18,20,"10KT,14KT,18KT,9KT",,,4-17-2024
DRM9152,RM3016,RING,Male Ring,Male,Generic,24,"Rose,White,Yellow,Yellow White",Divine (DSJ),0.18-0.22,0.18-0.22,19,19,"10KT,14KT,18KT,9KT",White,3-29-2024,2-21-2024
DEF9707,EF3478,EARRING,Female Earring,Female,Generic,-,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.10-0.13,0.30-0.38,-,-,"10KT,14KT,18KT,9KT",White,,2-21-2024
DCM8637,CM3023,RING,Couple Male Ring,Male,Now & Forever,22,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.30-0.38,1,21,"10KT,14KT,18KT,9KT",Yellow,4-11-2024,2-21-2024
DRM9236,RM3032,RING,Male Ring,Male,Generic,18,"Rose,Rose White Rhodium,White,White Yellow,Yellow,Yellow White Rhodium",Divine (DSJ),0.30-0.38,0.30-0.38,22,22,"10KT,14KT,18KT,9KT",White,3-16-2024,2-21-2024
DRM9019,RM1236,RING,Male Ring,Male,Generic,20,"Rose,Rose White Rhodium,White,Yellow,Yellow White Rhodium",Divine (DSJ),0.23-0.29,0.60-0.69,15,26,"10KT,14KT,18KT,9KT",White,4-17-2024,2-21-2024
DEF9845,EF3304,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,Yellow,,2-21-2024
DRM9038,RM1270,RING,Male Ring,Male,Now & Forever,26,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.14-0.17,18,18,"10KT,14KT,18KT,9KT",White,3-26-2024,2-21-2024
DPF9598,PF1257,NECKWEAR,Female Pendant,Female,Generic,-,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.10-0.13,0.90-0.99,-,-,"10KT,14KT,18KT,9KT",White,4-30-2024,2-21-2024
DRF8471,RF2064,RING,Female Ring,Female,Generic,13.5,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.30-0.38,4,16,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DEF8501,EF1241,EARRING,Female Earring,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.90-0.99,-,-,"10KT,14KT,18KT,9KT",Yellow,3-16-2024,2-21-2024
DRM9051,RM1293,RING,Male Ring,Male,Generic,24,"Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.18-0.22,0.70-0.79,20,21,"10KT,14KT,18KT,9KT",Yellow White,,3-19-2024
DRF9771,RF1565,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Yellow,4-1-2024,2-21-2024
DPF9679,PF1371,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),,,-,-,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRF8186,RF1743,RING,Female Ring,Female,Generic,13,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,1.00-1.23,10,25.5,"10KT,14KT,18KT,9KT",Yellow,3-24-2024,3-24-2024
DPF9597,PF1256,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,-,-,"10KT,14KT,18KT,9KT",Yellow,3-18-2024,2-21-2024
DRF9561,RF1243,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DCM8757,RM1263,RING,Couple Male Ring,Male,Now & Forever,23,"Rose,Rose White Rhodium,White,Yellow,Yellow White,Yellow White Rhodium",Divine (DSJ),0.23-0.29,0.23-0.29,20,20,"10KT,14KT,18KT,9KT",White,3-26-2024,2-21-2024
DRM8945,RM1136,RING,Male Ring,Male,Generic,20,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,1.50-1.69,19,19,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,4-3-2024
DRF9639,RF1437,RING,Female Ring,Female,Generic,10,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.50-2.99,11,14,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF8246,RF1841,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,2.00-2.49,15,20,"10KT,14KT,18KT,9KT",White,3-21-2024,2-21-2024
DRF9760,RF1659,RING,Female Ring,Female,Generic,8,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,0.70-0.79,4,16,"10KT,14KT,18KT,9KT",Yellow,,2-21-2024
DRF8564,RF3008,RING,Female Ring,Female,Generic,14,"Rose,Rose White,White Rose,White Yellow,Yellow White",Divine (DSJ),0.14-0.17,0.14-0.17,10,30,"10KT,14KT,18KT,9KT",White,3-8-2024,2-21-2024
DRM9240,RM3042,RING,Male Ring,Male,Generic,20,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.18-0.22,18,18,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DEF9851,EF3412,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,White,4-17-2024,2-21-2024
DRM9249,RM3051,RING,Male Ring,Male,Generic,20,"Rose,White,Yellow",Divine (DSJ),-,2.50-2.99,1,21,"10KT,14KT,18KT,9KT",Yellow,4-10-2024,4-10-2024
DPF9494,PF1175,NECKWEAR,Female Pendant,Female,Generic,-,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,0.10-0.13,-,-,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DEF9849,EF3356,EARRING,Female Earring,Female,Generic,-,,Divine (DSJ),,,,,,White,4-17-2024,2-21-2024
DCM8758,RM1266,RING,Couple Male Ring,Male,Now & Forever,26,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.30-0.38,22,31,"10KT,14KT,18KT,9KT",White,3-24-2024,2-21-2024
DRM8913,RM1154,RING,Male Ring,Male,Generic,20,"Rose,White,Yellow",Divine (DSJ),0.60-0.69,0.60-0.69,18,18,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF9553,RF1165,RING,Female Ring,Female,Generic,16,"Rose,White,Yellow",Divine (DSJ),0.10-0.13,2.50-2.99,4,16,"10KT,14KT,18KT,9KT",Rose,3-8-2024,2-21-2024
DCF8768,CF3024,RING,Couple Female Ring,Female,Now & Forever,9,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.30-0.38,9,18,"10KT,14KT,18KT,9KT",Yellow,5-2-2024,5-2-2024
DRM8936,RM1223,RING,Male Ring,Male,Generic,21,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,1.24-1.49,21,21,"10KT,14KT,18KT,9KT",Yellow,3-8-2024,2-21-2024
DRF9659,RF1533,RING,Female Ring,Female,Generic,12,"Rose,White,Yellow",Divine (DSJ),0.14-0.17,2.50-2.99,4,19,"10KT,14KT,18KT,9KT",Rose,,3-8-2024
DCM8776,CM3038,RING,Couple Male Ring,Male,Now & Forever,22,"Rose,White,Yellow",Divine (DSJ),0.18-0.22,0.18-0.22,17,17,"10KT,14KT,18KT,9KT",Yellow,4-17-2024,2-21-2024
DRF10032,RF3094,RING,Female Ring,Female,Generic,11,,Divine (DSJ),,,,,,White,,2-21-2024
